Power_W,D0_pred,D1_pred,D2_pred,Irms_pred
100.0,0.7792274456728772,0.803880189485192,0.8327992335525682,-0.27161017218244954
109.0909090909091,0.764965110693286,0.8063668572527197,0.7951912188613239,0.12470905065850868
118.18181818181819,0.7516357211019662,0.8086364172879504,0.7585269368568153,0.5155175142814832
127.27272727272728,0.739222421362147,0.8106880523289212,0.7228185842994226,0.9006374370802481
136.36363636363637,0.7277069318124669,0.8125212667964311,0.6880767057988397,1.279905703425242
145.45454545454547,0.7170696109606818,0.8141358855987099,0.6543101956456969,1.65317406291659
154.54545454545456,0.7072895207454091,0.8155320520811463,0.6215263032552703,2.020309294457504
163.63636363636363,0.6983444945703392,0.8167102251210357,0.5897306421946571,2.3811933347252667
172.72727272727275,0.6902112079004079,0.8176711753683256,0.5589272027542667,2.7357233706685795
181.8181818181818,0.6828652512197275,0.818415980644709,0.5291183680136033,3.083811895791455
190.90909090909093,0.6762812051265323,0.818946020503781,0.5003049333444569,3.425386730054341
200.0,0.6704327173469447,0.8192629699683144,0.4724861292841116,3.7603910033406427
209.0909090909091,0.6652925814377861,0.8193687924598484,0.44565964770095445,4.08878310251255
218.1818181818182,0.6608328169455755,0.8192657319329802,0.41982167117055735,4.410536582201828
227.27272727272728,0.657024750786537,0.8189563042414895,0.3949669054654852,4.725640039557873
236.36363636363637,0.6538390996057084,0.8184432877524946,0.3710886150623527,5.034096953285142
245.45454545454547,0.6512460528784241,0.8177297132376614,0.34817866155126365,5.335925487396536
254.54545454545456,0.6492153565062788,0.8168188530690165,0.3262275448366456,5.631158260201189
263.6363636363636,0.6477163966665709,0.8157142097466098,0.3052244470026342,5.91984207914119
272.72727272727275,0.6467182836737815,0.8144195037942629,0.2851572787138441,6.202037642188997
281.81818181818187,0.6461899356057794,0.8129386610573098,0.26601272801521714,6.477819206602006
290.90909090909093,0.6461001614624318,0.8112757994354999,0.24777631138875233,6.747274225921969
300.0,0.6464177436068221,0.809435215096095,0.23043242691847365,7.010502956195423
309.0909090909091,0.6471115192731711,0.8074213682050916,0.2139644094119053,7.267618032469257
318.1818181818182,0.6481504608873971,0.8052388682165562,0.1983545873203003,7.518744016707685
327.27272727272725,0.64950375499814,0.8028924587714178,0.18358434129755108,7.764016918335769
336.3636363636364,0.6511408795864677,0.8003870022437601,0.16963416423133038,8.003583688708986
345.4545454545455,0.6530316795356763,0.7977274639901358,0.15648372258026666,8.237601690869084
354.54545454545456,0.6551464400742513,0.7949188963432837,0.14411191884673724,8.466238146005026
363.6363636363637,0.6574559579723778,0.7919664224043507,0.13249695501281633,8.68966955811905
372.72727272727275,0.6599316103158268,0.7888752196838388,0.12161639676690084,8.908081118438005
381.81818181818187,0.6625454206675878,0.7856505036414992,0.11144723834428771,9.121666091175399
390.90909090909093,0.6652701224549171,0.7822975111769145,0.10196596781084577,9.330625182291783
400.0,0.6680792194073073,0.7788214841275979,0.09314863261002881,9.535165892949067
409.0909090909091,0.6709470429055566,0.7752276528198158,0.08497090520593997,9.735501859392201
418.1818181818182,0.6738488060985512,0.7715212197325277,0.07740814864110246,9.931852181023544
427.2727272727273,0.6767606546516485,0.767707343319764,0.07043548184701831,10.12444073846747
436.3636363636364,0.6796597140216429,0.763791122054379,0.06402784453111576,10.313495503450042
445.4545454545455,0.6825241331448846,0.7597775787320634,0.058160061478436775,10.499247842320884
454.54545454545456,0.6853331244470733,0.7556716450958808,0.05280690610427041,10.681931815080418
463.6363636363637,0.6880670000976077,0.7514781468313251,0.04794316309525937,10.861783471765463
472.72727272727275,0.690707204438983,0.7472017889754957,0.04354368998885616,11.039040148051726
481.81818181818187,0.6932363425351051,0.7428471417966668,0.03958347753587543,11.213939761940495
490.90909090909093,0.6956382048039311,0.7384186271838266,0.0360377087028827,11.386720113364177
500.00000000000006,0.6978977876945474,0.733920505594377,0.03288181617235364,11.557618188563708
509.0909090909091,0.7000013104094231,0.7293568636088926,0.030091538208101953,11.72686947103665
518.1818181818182,0.7019362276538781,0.7247316021240883,0.027642972753431083,11.894707260856904
527.2727272727273,0.7036912384306542,0.7200484252319731,0.02551262964442924,12.061362004123367
536.3636363636364,0.7052562909083842,0.7153108298235443,0.023677480818595997,12.22706063427266
545.4545454545455,0.7066225833891944,0.7105220959442639,0.02211500841355485,12.39202592692439
554.5454545454545,0.7077825614328257,0.7056852779440638,0.02080325065182831,12.55647586992501
563.6363636363637,0.7087299111921548,0.7008031964465365,0.01972084542017183,12.720623050165344
572.7272727272727,0.7094595490367548,0.6958784311657317,0.01884707145615505,12.884674058720947
581.8181818181819,0.7099676075460517,0.690913314598213,0.018161887063361748,13.048828915795738
590.909090909091,0.7102514179715522,0.6859099266113523,0.017645966286413683,13.213280516886343
600.0,0.7103094892607837,0.6808700899449823,0.01728073248347539,13.37821410152813
609.0909090909091,0.7101414837783901,0.6757953666477553,0.01704838924164176,13.543806745903382
618.1818181818182,0.7097481898321301,0.670687055454558,0.016931948590515278,13.71022688052308
627.2727272727274,0.7091314911486004,0.6655461901242538,0.016915256478076346,13.877633834125717
636.3636363636364,0.7082943334374685,0.6603735387359612,0.016983015477625374,14.046177404841018
645.4545454545455,0.7072406881981588,0.6551696039523952,0.017120804709098936,14.21599745960792
654.5454545454546,0.7059755139227699,0.6499346242508116,0.017315096960236476,14.387223562723193
663.6363636363637,0.7045047148647294,0.6446685761178875,0.017553273004854875,14.559974634343277
672.7272727272727,0.7028350975453359,0.6393711772011349,0.017823633124043115,14.734358639643958
681.8181818181819,0.7009743251680371,0.6340418904143311,0.018115405841617305,14.910472309279427
