Power_W,D0,D1,D2,Irms_A,P_actual_W,Power_Error_%,Mode
100.0,0.9586000431406358,0.9586000431406364,0.010000000000000654,7.3926682102246675,100.00000000000031,3.126388037344441e-13,2
147.3684210526316,0.9376936091462665,0.9376936091462665,0.010000000000000077,7.57998110426621,147.36842105263145,9.643079985315645e-14,2
194.73684210526318,0.9157496442754248,0.915749644275423,0.01,7.836849939638038,194.7368421052634,1.1675945495733538e-13,4
242.10526315789474,0.8925963967855238,0.8925963967855354,0.010000000000000547,8.164907104967279,242.10526315789227,1.0213279497490832e-12,2
289.47368421052636,0.8680087483094556,0.8680087483098458,0.01,8.566005591414612,289.4736842105677,1.4275966267715292e-11,2
336.8421052631579,0.84168163766594,0.8416816376659387,0.01,9.043035098144559,336.84210526315746,1.35003119794419e-13,4
384.2105263157895,0.8131835782589736,0.8131835782589736,0.01,9.601117037894994,384.210526315789,1.1835889954579202e-13,2
431.5789473684211,0.7818682991420131,0.7818682991420133,0.010000000000000168,10.249572627768956,431.5789473684211,0.0,2
478.94736842105266,0.7466864172568299,0.7466864172568299,0.01000000000000013,11.005780602102138,478.9473684210523,7.121043681463861e-14,2
526.3157894736842,0.7351320791954113,0.7215469405694811,0.010000000000000276,11.85648111316792,526.3157894736847,1.0800249583553525e-13,6
573.6842105263158,0.7260820192074593,0.6969976941836908,0.01,12.746491636660076,573.6842105261154,3.4937321129917177e-11,6
621.0526315789474,0.7162807530013798,0.6713516093335506,0.01,13.670947970287484,621.0526315789217,4.137044755734061e-12,6
668.421052631579,0.705755842310411,0.6445340735296622,0.010000000000000045,14.626709502297569,668.4210526308176,1.1390436450560306e-10,6
715.7894736842105,0.6945037572735466,0.6164359596279027,0.01,15.611568451425905,715.7894736842105,0.0,6
763.1578947368422,0.6824927430129588,0.5869089587864207,0.01,16.62411058041218,763.1578947367097,1.735488381357221e-11,6
810.5263157894738,0.6696619959380903,0.5557560274567344,0.010000000000000092,17.663624824588368,810.5263157894728,1.1221038528367295e-13,6
857.8947368421053,0.6559165682319271,0.5227148038987436,0.01,18.73006229735286,857.8947368420959,1.0999027183250828e-12,6
905.2631578947369,0.6411168850191501,0.4874299271877808,0.01,19.82404981027227,905.2631578947378,1.004674379865444e-13,6
952.6315789473684,0.6250589772234219,0.44940523266514915,0.010000000000000377,20.946973210270247,952.6315789473616,7.160386464234379e-13,6
1000.0,0.60743722348097,0.40791627650485274,0.010000000000000344,22.10116674159673,999.9999999999998,2.2737367544323207e-14,6
