D0,D1,D2,Power_W,Irms_A,Efficiency_%,Mode
0.01,0.01,0.01,221.21530199999998,4.9776557413527485,97.80899470100043,2
0.01,0.01,0.04,225.610308,4.96727411873555,97.8595233446394,2
0.01,0.01,0.06999999999999999,230.00531400000003,4.956892496118352,97.90815226629238,2
0.01,0.01,0.09999999999999999,234.40032000000002,4.946510873501154,97.95498562298903,2
0.01,0.01,0.13,238.795326,4.936129250883956,98.00012009420904,2
0.01,0.01,0.16,243.190332,4.925747628266758,98.04364554107805,2
0.01,0.01,0.19,247.58533799999998,4.9153660056495605,98.08564559703701,2
0.01,0.01,0.22,251.98034399999997,4.904984383032362,98.12619819815389,2
0.01,0.01,0.25,256.37534999999997,4.894602760415164,98.16537606015312,2
0.01,0.01,0.28,260.770356,4.884221137797965,98.20324710830592,2
0.01,0.01,0.31,265.165362,4.873839515180768,98.23987486552703,2
0.01,0.01,0.33999999999999997,269.560368,4.86345789256357,98.27531880334391,2
0.01,0.01,0.37,273.955374,4.853076269946372,98.30963465981596,2
0.01,0.01,0.4,278.35038,4.842694647329174,98.3428747279795,2
0.01,0.01,0.43,282.745386,4.832313024711975,98.3750881179574,2
0.01,0.01,0.45999999999999996,287.14039199999996,4.821931402094777,98.40632099549677,2
0.01,0.01,0.49,291.535398,4.81154977947758,98.43661679937144,2
0.01,0.01,0.52,290.07039599999996,4.8150103203499794,98.42661974208482,2
0.01,0.01,0.55,285.67539,4.825391942967177,98.39601624688112,2
0.01,0.01,0.58,281.28038399999997,4.8357735655843745,98.36446148880162,2
0.01,0.01,0.61,276.885378,4.846155188201573,98.33191114302406,2
0.01,0.01,0.64,272.490372,4.8565368108187705,98.2983180874954,2
0.01,0.01,0.6699999999999999,268.095366,4.866918433435969,98.2636321787368,2
0.01,0.01,0.7,263.70036,4.877300056053167,98.22780000573445,2
0.01,0.01,0.73,259.30535399999997,4.887681678670365,98.1907646193761,2
0.01,0.01,0.76,254.910348,4.898063301287563,98.1524652345502,2
0.01,0.01,0.79,250.515342,4.908444923904761,98.11283690163071,2
0.01,0.01,0.82,246.12033600000004,4.9188265465219585,98.07181014361238,2
0.01,0.01,0.85,241.72532999999999,4.929208169139158,98.0293105546325,2
0.01,0.01,0.88,237.33032400000002,4.939589791756355,97.98525835499862,2
0.01,0.01,0.9099999999999999,232.935318,4.949971414373553,97.9395678971237,2
0.01,0.01,0.94,228.54031199999997,4.960353036990751,97.89214711593175,2
0.01,0.01,0.97,224.145306,4.970734659607949,97.84289691631346,2
0.01,0.04,0.01,225.610308,4.96727411873555,97.8595233446394,1
0.01,0.04,0.04,230.09263199999998,4.956686238715362,97.90909988090235,2
0.01,0.04,0.06999999999999999,234.57495600000001,4.946098358695172,97.95681084177353,2
0.01,0.04,0.09999999999999999,239.05728000000002,4.935510478674984,98.00275856254447,2
0.01,0.04,0.13,243.53960399999997,4.924922598654795,98.04703802818493,2
0.01,0.04,0.16,248.02192800000003,4.914334718634606,98.089737521631,2
0.01,0.04,0.19,252.50425199999998,4.903746838614418,98.13093920464891,2
0.01,0.04,0.22,256.986576,4.8931589585942294,98.17071963931609,2
0.01,0.04,0.25,261.4689,4.88257107857404,98.2091502570836,2
0.01,0.04,0.28,265.951224,4.871983198553852,98.24629778146563,2
0.01,0.04,0.31,270.43354800000003,4.8613953185336625,98.28222460961827,2
0.01,0.04,0.33999999999999997,274.915872,4.850807438513474,98.31698915739797,2
0.01,0.04,0.37,279.39819600000004,4.840219558493285,98.35064617191324,2
0.01,0.04,0.4,283.88051999999993,4.829631678473097,98.38324701508742,2
0.01,0.04,0.43,288.362844,4.819043798452908,98.41483992132135,2
0.01,0.04,0.45999999999999996,292.845168,4.80845591843272,98.44547023197472,2
0.01,0.04,0.49,297.327492,4.79786803841253,98.47518060906307,2
0.01,0.04,0.52,295.83338399999997,4.801397331752593,98.46537683567527,2
0.01,0.04,0.55,291.35106,4.8119852117727815,98.43536439711532,2
0.01,0.04,0.58,286.86873599999996,4.822573091792971,98.40441808962194,2
0.01,0.04,0.61,282.386412,4.83316097181316,98.37249438061593,2
0.01,0.04,0.64,277.90408799999994,4.8437488518333485,98.33954698911502,2
0.01,0.04,0.6699999999999999,273.421764,4.854336731853538,98.30552666535685,2
0.01,0.04,0.7,268.93944,4.864924611873725,98.27038094887197,2
0.01,0.04,0.73,264.457116,4.875512491893914,98.23405390250703,2
0.01,0.04,0.76,259.97479200000004,4.886100371914103,98.1964858195621,2
0.01,0.04,0.79,255.49246799999997,4.896688251934292,98.15761290081721,2
0.01,0.04,0.82,251.010144,4.907276131954481,98.11736689777328,2
0.01,0.04,0.85,246.52782,4.91786401197467,98.07567471791069,2
0.01,0.04,0.88,242.045496,4.928451891994858,98.03245798716311,2
0.01,0.04,0.9099999999999999,237.563172,4.939039772015047,97.98763256409624,2
0.01,0.04,0.94,233.080848,4.949627652035235,97.94110799945607,2
0.01,0.04,0.97,228.59852400000003,4.960215532055424,97.89278693378205,2
0.01,0.06999999999999999,0.01,230.00531400000003,4.956892496118352,97.90815226629238,1
0.01,0.06999999999999999,0.04,234.57495600000001,4.946098358695172,97.95681084177353,1
0.01,0.06999999999999999,0.06999999999999999,239.144598,4.935304221271993,98.00363678533569,2
0.01,0.06999999999999999,0.09999999999999999,243.71424000000005,4.924510083848814,98.04873067286908,2
0.01,0.06999999999999999,0.13,248.28388199999998,4.913715946425634,98.09218585294774,2
0.01,0.06999999999999999,0.16,252.85352400000002,4.902921809002455,98.13408908456054,2
0.01,0.06999999999999999,0.19,257.42316600000004,4.892127671579275,98.17452110848576,2
0.01,0.06999999999999999,0.22,261.992808,4.881333534156096,98.21355716022747,2
0.01,0.06999999999999999,0.25,266.56245,4.870539396732917,98.25126743136946,2
0.01,0.06999999999999999,0.28,271.132092,4.859745259309737,98.28771748529921,2
0.01,0.06999999999999999,0.31,275.70173400000004,4.848951121886557,98.32296863248135,2
0.01,0.06999999999999999,0.33999999999999997,280.271376,4.838156984463379,98.3570782697994,2
0.01,0.06999999999999999,0.37,284.841018,4.827362847040199,98.39010018791643,2
0.01,0.06999999999999999,0.4,289.41066,4.8165687096170196,98.4220848501167,2
0.01,0.06999999999999999,0.43,293.980302,4.80577457219384,98.45307964566848,2
0.01,0.06999999999999999,0.45999999999999996,298.549944,4.794980434770661,98.48312912038341,2
0.01,0.06999999999999999,0.49,303.119586,4.784186297347481,98.51227518673146,2
0.01,0.06999999999999999,0.52,301.596372,4.787784343155208,98.50265772526659,2
0.01,0.06999999999999999,0.55,297.02673,4.798578480578387,98.47321502526516,2
0.01,0.06999999999999999,0.58,292.457088,4.809372618001567,98.44285522647374,2
0.01,0.06999999999999999,0.61,287.887446,4.820166755424746,98.41153556081443,2
0.01,0.06999999999999999,0.64,283.31780399999997,4.8309608928479255,98.37921055896712,2
0.01,0.06999999999999999,0.6699999999999999,278.74816200000004,4.841755030271104,98.34583183368389,2
