D0,D1,D2,mode,I_rms_sq_original,k
0.01,0.9099999999999999,0.64,1,-3180242133333346.0,0.98
0.01,0.9099999999999999,0.6699999999999999,1,-3421454933333344.5,0.98
0.01,0.9099999999999999,0.7,1,-3566686933333337.5,0.98
0.01,0.9099999999999999,0.73,1,-3615938133333325.0,0.98
0.01,0.9099999999999999,0.76,1,-3569208533333333.5,0.98
0.01,0.9099999999999999,0.79,1,-3426498133333339.5,0.98
0.01,0.9099999999999999,0.82,1,-3187806933333319.5,0.98
0.01,0.9099999999999999,0.85,1,-2853134933333347.5,0.98
0.01,0.9099999999999999,0.88,1,-2422482133333322.5,0.98
0.01,0.94,0.49,1,-535755733333336.75,0.98
0.01,0.94,0.52,1,-1256872533333334.2,0.98
0.01,0.94,0.55,1,-1882008533333341.2,0.98
0.01,0.94,0.58,1,-2411163733333344.0,0.98
0.01,0.94,0.61,1,-2844338133333326.5,0.98
0.01,0.94,0.64,1,-3181531733333348.0,0.98
0.01,0.94,0.6699999999999999,1,-3422744533333346.5,0.98
0.01,0.94,0.7,1,-3567976533333339.5,0.98
0.01,0.94,0.73,1,-3617227733333327.0,0.98
0.01,0.94,0.76,1,-3570498133333335.5,0.98
0.01,0.94,0.79,1,-3427787733333342.0,0.98
0.01,0.94,0.82,1,-3189096533333322.0,0.98
0.01,0.94,0.85,1,-2854424533333349.5,0.98
0.01,0.94,0.88,1,-2423771733333324.5,0.98
0.01,0.94,0.9099999999999999,1,-1897138133333347.5,0.98
0.01,0.97,0.49,1,-537102933333335.25,0.98
0.01,0.97,0.52,1,-1258219733333332.8,0.98
0.01,0.97,0.55,1,-1883355733333339.8,0.98
0.01,0.97,0.58,1,-2412510933333342.5,0.98
0.01,0.97,0.61,1,-2845685333333325.0,0.98
0.01,0.97,0.64,1,-3182878933333346.5,0.98
0.01,0.97,0.6699999999999999,1,-3424091733333345.0,0.98
0.01,0.97,0.7,1,-3569323733333338.0,0.98
0.01,0.97,0.73,1,-3618574933333325.5,0.98
0.01,0.97,0.76,1,-3571845333333334.0,0.98
0.01,0.97,0.79,1,-3429134933333340.0,0.98
0.01,0.97,0.82,1,-3190443733333320.5,0.98
0.01,0.97,0.85,1,-2855771733333348.0,0.98
0.01,0.97,0.88,1,-2425118933333323.0,0.98
0.01,0.97,0.9099999999999999,1,-1898485333333346.0,0.98
0.01,0.97,0.94,1,-1275870933333319.0,0.98
0.04,0.49,0.43,1,-642862933333327.6,0.98
0.04,0.52,0.43,1,-643326933333329.1,0.98
0.04,0.52,0.45999999999999996,1,-1368226133333326.8,0.98
0.04,0.55,0.43,1,-643848533333328.4,0.98
0.04,0.55,0.45999999999999996,1,-1368747733333327.5,0.98
0.04,0.55,0.49,1,-1997666133333330.0,0.98
0.04,0.58,0.43,1,-644427733333328.5,0.98
0.04,0.58,0.45999999999999996,1,-1369326933333327.5,0.98
0.04,0.58,0.49,1,-1998245333333330.0,0.98
0.04,0.58,0.52,1,-2531182933333339.0,0.98
0.04,0.61,0.43,1,-645064533333327.9,0.98
0.04,0.61,0.45999999999999996,1,-1369963733333329.8,0.98
0.04,0.61,0.49,1,-1998882133333332.2,0.98
0.04,0.61,0.52,1,-2531819733333341.0,0.98
0.04,0.61,0.55,1,-2968776533333335.5,0.98
0.04,0.64,0.43,1,-645758933333328.0,0.98
0.04,0.64,0.45999999999999996,1,-1370658133333331.5,0.98
0.04,0.64,0.49,1,-1999576533333334.0,0.98
0.04,0.64,0.52,1,-2532514133333343.0,0.98
0.04,0.64,0.55,1,-2969470933333337.5,0.98
0.04,0.64,0.58,1,-3310446933333334.0,0.98
0.04,0.6699999999999999,0.43,1,-646510933333328.9,0.98
0.04,0.6699999999999999,0.45999999999999996,1,-1371410133333329.2,0.98
0.04,0.6699999999999999,0.49,1,-2000328533333331.8,0.98
0.04,0.6699999999999999,0.52,1,-2533266133333340.5,0.98
0.04,0.6699999999999999,0.55,1,-2970222933333335.5,0.98
0.04,0.6699999999999999,0.58,1,-3311198933333332.0,0.98
0.04,0.6699999999999999,0.61,1,-3556194133333337.5,0.98
